location,IW25030182,IW25030183,IW25030184,IW25030185,IW25030186,IW25030187,IW25030193,IW25030276,IW25030277,IW25030278,IW25030279,IW25030280,IW25030281,IW25030282,IW25030283,IW25030284,IW25030285,IW25030288,IW25030289,IW25030290,IW25030291,IW25030292,IW25030293,IW25030294,IW25030295,IW25030296,IW25030297,IW25030298,IW25030300,IW25030301,IW25030302,IW25030303,IW25030304,IW25030305,IW25030306,IW25030307,IW25030308,IW25030310,IW25030311,IW25030312,IW25030313,IW25030314,IW25030315,IW25030316,IW25030319,IW25030321,IW25030328,IW25030336,IW25030337,IW25030913,IW25030952
"1, 1",-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-96,-102,-83,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 2",-102,-102,-102,-102,-102,-102,-102,-102,-87,-91,-102,-102,-96,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 3",-102,-102,-102,-102,-102,-102,-102,-102,-84,-91,-102,-102,-96,-102,-83,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 4",-102,-102,-102,-102,-102,-102,-102,-102,-84,-91,-102,-102,-96,-92,-83,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 5",-102,-102,-102,-102,-102,-102,-102,-89,-78,-91,-102,-102,-96,-92,-83,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 6",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 7",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-92,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 8",-102,-102,-102,-102,-102,-102,-102,-89,-74,-91,-102,-102,-96,-102,-83,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 9",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 10",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 11",-102,-102,-102,-102,-102,-102,-102,-102,-64,-91,-102,-102,-96,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 12",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-83,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 13",-102,-102,-102,-102,-102,-102,-102,-89,-85,-91,-102,-102,-96,-92,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 14",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 15",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 16",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-102,-102,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 17",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 18",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 19",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-102,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 20",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 21",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-83,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 22",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-102,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 23",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-102,-102,-102,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 24",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-83,-102,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 25",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-83,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 26",-102,-102,-102,-102,-102,-102,-102,-89,-102,-91,-102,-102,-96,-102,-102,-92,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
"1, 27",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-92,-102,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 28",-102,-102,-102,-102,-102,-102,-102,-89,-82,-91,-102,-102,-96,-102,-102,-92,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 29",-102,-102,-102,-102,-102,-102,-102,-102,-82,-91,-102,-102,-96,-102,-102,-102,-102,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-85,-91,-102,-102,-102,-102,-102,-102,-102
"1, 30",-102,-102,-102,-102,-102,-102,-102,-89,-90,-91,-102,-102,-96,-102,-83,-92,-92,-94,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-91,-102,-102,-102,-102,-102,-102,-102
